Order;City;Cantidad
1002412112677-01;Pujili;1
1002413350547-01;Guayaquil;1
1002420709982-01;Manta;1
1002422482495-01;Quito;1
1002423385985-01;Riobamba;1
1002430163193-01;Quito;2
1002431063335-01;Quito;1
1002442349012-01;Guayaquil;1
1002450219606-01;Guayaquil;5
1002450546159-01;Guayaquil;25
1002450704521-01;Quito;1
1002452833186-01;Naranjal;1
1002452963232-01;Portoviejo;1
1002472957372-01;Milagro;14
1002530064831-01;Quito;1
1002541655180-01;Vinces;1
1002542074481-01;Arenillas;1
1002543392490-01;Zaruma;1
1002550555011-01;Quito;1
1002551449774-01;Guayaquil;1
1002552253890-01;Vinces;1
1002562503641-01;Guayaquil;1
1002570083436-01;Quito;5
1002571235640-01;Guayaquil;1
1002580902899-01;Quito;1
1002591248300-01;Quito;1
1002591918866-01;Guayaquil;1
1002600173057-01;Nobol;1
1002600419057-01;Guayaquil;9
1002600803764-01;Quito;1
1002602942660-01;Guayaquil;1
1002602974515-01;Cayambe;1
1002612124578-01;Quito;3
1002620714210-01;Guayaquil;1
1002621133025-01;Guayaquil;1
1002652131910-01;Guayaquil;1
1002660466708-01;Quito;11
1002662018189-01;Milagro;1
1002672482099-01;Loja;2
1002693032352-01;El Empalme;1
1002702607716-01;Guayaquil;1
1002703239725-01;Guayaquil;1
1002750046890-01;Samborondon;24
1002770731619-01;Guayaquil;1
1002771375020-01;Quito;1
1002781726554-01;Guaranda;1
1002782996152-01;Ambato;1
1002791593695-01;Gualaquiza;1
1002791972804-01;Quito;1
1002792391434-01;Puyo;1
1002802199501-01;Archidona;1
1002802743084-01;Guayaquil;1
1002812626823-01;Samborondon;2
1002812854561-01;Guaranda;1
1002820099851-01;Guayaquil;1
1002820132499-01;Quito;1
1002822441849-01;Manta;2
1002830087769-01;Orellana;1
1002830869564-01;Ambato;2
1002831702626-01;Riobamba;4
1002840381015-01;Santa Elena;1
1002840435096-01;Quevedo;1
1002840667023-01;Daule;1
1002841406931-01;Guayaquil;1
1002851212951-01;Tena;1
1002851645487-01;Quito;1
1002870156656-01;Quito;1
1002873561657-01;Daule;1
1002881270812-01;San Vicente;1
1002892384185-01;Pedro Vicente Maldonado;1
1002902751711-01;Guayaquil;1
1002910376288-01;Santa Ana;3
1002910660410-01;Puyo;1
1002913133323-01;La Troncal;1
1002913246297-01;Quito;4
1002921215787-01;Santa Rosa;1
1002922031850-01;Guayaquil;5
1002922483237-01;Quito;1
1003000632965-01;Quito;3
1003001747102-01;Cuenca;1
1003020444871-01;Quito;1
1003022023307-01;Quito;2
1003030606199-01;Guayaquil;1
1003031946446-01;Riobamba;2
1003041732996-01;Riobamba;4
1003042248979-01;Santa Elena;1
1003042877557-01;Portoviejo;1
1003043419729-01;Esmeraldas;2
1003043434068-01;Milagro;4
1003050404771-01;Quito;1
1003050601266-01;Guayaquil;2
1003051582266-01;Quito;4
1003051851503-01;Quito;4
1003060340614-01;Guayaquil;9
1003071379585-01;Quito;1
1003072229762-01;Guayaquil;13
1003080782482-01;Quito;2
1003081771694-01;Quito;1
1003082368395-01;Chambo;1
1003090887703-01;Guayaquil;5
1003092173011-01;Daule;1
1003092963152-01;Esmeraldas;1
1003093000561-01;Guayaquil;7
1003100580897-01;Guayaquil;1
1003102186120-01;Portoviejo;1
1003103333278-01;Sucua;1
1003120492932-01;Guayaquil;1
1003122361830-01;La Libertad;2
1003140508580-01;Manta;1
1003140738974-01;Guayaquil;9
1003141913332-01;Guayaquil;1
1003150298499-01;Loja;3
1003151866229-01;Guayaquil;1
1003152412331-01;Quito;3
1003153596895-01;Babahoyo;1
1003161958154-01;Quito;1
1003162759588-01;Quito;1
1003170196864-01;Quito;3
